Styczeń,136,54,81,113,46,67
Luty,112,40,72,100,35,65
Marzec,121,47,74,105,41,64
Kwiecień,138,67,70,124,63,61
Maj,163,78,85,142,65,77
Czerwiec,177,95,81,165,86,79
Lipiec,196,98,98,180,93,88
Sierpień,177,91,86,168,86,82
Wrzesień,136,63,73,122,55,66
